Time (s)             ,Temperature (C) ,Relative Humidity (%)
399.20347118377686   ,           27.8 ,                 99.0
401.23088002204895   ,           27.8 ,                 99.0
403.2583022117615    ,           27.7 ,                 99.0
405.2897322177887    ,           27.6 ,                 99.0
407.3170380592346    ,           27.6 ,                 99.0
409.344398021698     ,           27.5 ,                 99.0
411.3758792877197    ,           27.4 ,                 99.0
413.4033262729645    ,           27.4 ,                 99.0
415.4307219982147    ,           27.3 ,                 99.0
417.4621081352234    ,           27.3 ,                 99.0
419.48936009407043   ,           27.2 ,                 99.0
421.51683616638184   ,           27.1 ,                 99.0
423.5482831001282    ,           27.1 ,                 99.0
425.5757369995117    ,           27.0 ,                 99.0
427.60319995880127   ,           27.0 ,                 99.0
429.6344881057739    ,           26.9 ,                 99.0
431.66199803352356   ,           26.8 ,                 99.0
433.6893901824951    ,           26.8 ,                 99.0
435.7207772731781    ,           26.7 ,                 99.0
437.74820709228516   ,           26.7 ,                 99.0
439.7755391597748    ,           26.6 ,                 99.0
441.8069303035736    ,           26.6 ,                 99.0
443.83444929122925   ,           26.5 ,                 99.0
445.8617970943451    ,           26.4 ,                 99.0
447.89323711395264   ,           26.4 ,                 99.0
449.92062306404114   ,           26.3 ,                 99.0
451.9479022026062    ,           26.3 ,                 99.0
453.9794111251831    ,           26.2 ,                 99.0
456.00700521469116   ,           26.2 ,                 99.0
458.03448605537415   ,           26.1 ,                 99.0
460.0657720565796    ,           26.1 ,                 99.0
462.09321808815      ,           26.1 ,                 99.0
464.1206052303314    ,           26.0 ,                 99.0
466.1520230770111    ,           26.0 ,                 99.0
468.17945432662964   ,           25.9 ,                 99.0
470.2068700790405    ,           25.9 ,                 99.0
472.2382802963257    ,           25.8 ,                 99.0
474.26570105552673   ,           25.8 ,                 99.0
476.2930543422699    ,           25.7 ,                 99.0
478.3244400024414    ,           25.7 ,                 99.0
480.35189509391785   ,           25.6 ,                 99.0
482.3792881965637    ,           25.6 ,                 99.0
484.4107041358948    ,           25.6 ,                 99.0
486.4381082057953    ,           25.5 ,                 99.0
488.46552419662476   ,           25.5 ,                 99.0
490.4969582557678    ,           25.4 ,                 99.0
492.52440333366394   ,           25.4 ,                 99.0
494.55173802375793   ,           25.3 ,                 99.0
496.58319306373596   ,           25.3 ,                 99.0
498.6106050014496    ,           25.3 ,                 99.0
500.6380650997162    ,           25.2 ,                 99.0
502.6693811416626    ,           25.2 ,                 99.0
504.6968812942505    ,           25.1 ,                 99.0
506.72428011894226   ,           25.1 ,                 99.0
508.7555949687958    ,           25.1 ,                 99.0
510.7830882072449    ,           25.0 ,                 99.0
512.8104100227356    ,           25.0 ,                 99.0
514.8418979644775    ,           25.0 ,                 99.0
516.8692553043365    ,           24.9 ,                 99.0
518.8967132568359    ,           24.9 ,                 99.0
520.9281380176544    ,           24.9 ,                 99.0
522.9554591178894    ,           24.9 ,                 99.0
524.9830040931702    ,           24.8 ,                 99.0
527.0143101215363    ,           24.8 ,                 99.0
529.0431730747223    ,           24.8 ,                 99.0
531.0691602230072    ,           24.7 ,                 99.0
